Timestamp,Detection Status,Number of Circles
2025-03-11 02:16:14.804637,Missed,0
2025-03-11 02:16:15.414866,Missed,0
2025-03-11 02:16:15.538820,Missed,0
2025-03-11 02:16:15.640169,Missed,0
2025-03-11 02:16:15.772227,Missed,0
2025-03-11 02:16:15.872395,Missed,0
2025-03-11 02:16:16.007831,Missed,0
2025-03-11 02:16:16.106821,Missed,0
2025-03-11 02:16:16.205743,Missed,0
2025-03-11 02:16:16.305553,Missed,0
2025-03-11 02:16:16.405963,Missed,0
2025-03-11 02:16:16.490633,Missed,0
2025-03-11 02:16:16.735663,Missed,0
2025-03-11 02:16:16.839877,Missed,0
2025-03-11 02:16:16.940821,Missed,0
2025-03-11 02:16:17.039446,Missed,0
2025-03-11 02:16:17.139261,Missed,0
2025-03-11 02:16:17.238985,Missed,0
2025-03-11 02:16:17.339100,Missed,0
2025-03-11 02:16:17.439445,Missed,0
2025-03-11 02:16:17.538582,Missed,0
2025-03-11 02:16:17.639177,Missed,0
2025-03-11 02:16:17.739168,Missed,0
2025-03-11 02:16:17.839482,Missed,0
2025-03-11 02:16:17.948634,Missed,0
2025-03-11 02:16:18.038626,Missed,0
2025-03-11 02:16:18.142101,Missed,0
2025-03-11 02:16:18.242302,Missed,0
2025-03-11 02:16:18.372199,Missed,0
2025-03-11 02:16:18.473801,Missed,0
2025-03-11 02:16:18.572337,Missed,0
2025-03-11 02:16:18.674287,Missed,0
2025-03-11 02:16:18.774673,Missed,0
2025-03-11 02:16:18.874977,Missed,0
2025-03-11 02:16:18.976380,Missed,0
2025-03-11 02:16:19.075730,Missed,0
2025-03-11 02:16:19.175457,Missed,0
2025-03-11 02:16:19.273769,Missed,0
2025-03-11 02:16:19.371727,Missed,0
2025-03-11 02:16:19.472266,Missed,0
2025-03-11 02:16:19.571430,Missed,0
2025-03-11 02:16:19.672359,Missed,0
2025-03-11 02:16:19.771595,Missed,0
2025-03-11 02:16:19.872712,Missed,0
2025-03-11 02:16:19.972233,Missed,0
2025-03-11 02:16:20.073632,Missed,0
2025-03-11 02:16:20.171296,Missed,0
2025-03-11 02:16:20.272627,Missed,0
2025-03-11 02:16:20.372054,Missed,0
2025-03-11 02:16:20.473735,Missed,0
2025-03-11 02:16:20.605964,Missed,0
2025-03-11 02:16:20.775525,Missed,0
2025-03-11 02:16:20.877911,Missed,0
2025-03-11 02:16:20.972992,Missed,0
2025-03-11 02:16:21.073492,Missed,0
2025-03-11 02:16:21.181103,Missed,0
2025-03-11 02:16:21.282533,Missed,0
2025-03-11 02:16:21.373524,Missed,0
2025-03-11 02:16:21.473827,Missed,0
2025-03-11 02:16:21.571590,Missed,0
2025-03-11 02:16:21.673630,Missed,0
2025-03-11 02:16:21.774162,Missed,0
2025-03-11 02:16:21.873545,Missed,0
2025-03-11 02:16:21.973549,Missed,0
2025-03-11 02:16:22.073746,Missed,0
2025-03-11 02:16:22.172888,Missed,0
2025-03-11 02:16:22.272589,Missed,0
2025-03-11 02:16:22.372435,Missed,0
2025-03-11 02:16:22.473362,Missed,0
2025-03-11 02:16:22.574719,Missed,0
2025-03-11 02:16:22.671785,Missed,0
2025-03-11 02:16:22.771421,Missed,0
2025-03-11 02:16:22.871840,Missed,0
2025-03-11 02:16:22.970800,Missed,0
2025-03-11 02:16:23.073174,Missed,0
2025-03-11 02:16:23.174345,Missed,0
2025-03-11 02:16:23.274111,Missed,0
2025-03-11 02:16:23.373534,Missed,0
2025-03-11 02:16:23.473470,Missed,0
