Timestamp,Detection Status,Number of Circles
2025-03-13 08:45:15.264061,Missed,0
2025-03-13 08:45:16.371244,Missed,0
2025-03-13 08:45:16.689555,Missed,0
2025-03-13 08:45:16.971695,Missed,0
2025-03-13 08:45:17.332984,Missed,0
2025-03-13 08:45:17.674898,Detected,1
2025-03-13 08:45:17.950024,Missed,0
2025-03-13 08:45:18.405542,Missed,0
2025-03-13 08:45:18.704877,Missed,0
2025-03-13 08:45:18.937754,Missed,0
2025-03-13 08:45:19.169722,Missed,0
2025-03-13 08:45:19.403324,Missed,0
2025-03-13 08:45:19.636309,Missed,0
2025-03-13 08:45:19.878066,Missed,0
2025-03-13 08:45:20.105179,Missed,0
2025-03-13 08:45:20.336340,Missed,0
2025-03-13 08:45:20.572934,Detected,1
2025-03-13 08:45:20.806454,Detected,1
2025-03-13 08:45:21.039442,Missed,0
2025-03-13 08:45:21.270697,Missed,0
2025-03-13 08:45:21.505632,Detected,1
2025-03-13 08:45:21.736921,Missed,0
2025-03-13 08:45:21.970107,Detected,1
2025-03-13 08:45:22.203060,Detected,1
2025-03-13 08:45:22.436231,Detected,1
2025-03-13 08:45:22.670133,Missed,0
2025-03-13 08:45:22.904435,Missed,0
2025-03-13 08:45:23.138800,Missed,0
2025-03-13 08:45:23.371918,Missed,0
2025-03-13 08:45:23.604742,Detected,1
2025-03-13 08:45:23.835356,Missed,0
2025-03-13 08:45:24.071101,Missed,0
2025-03-13 08:45:24.304039,Missed,0
2025-03-13 08:45:24.534613,Detected,1
2025-03-13 08:45:24.769544,Missed,0
2025-03-13 08:45:25.002392,Missed,0
2025-03-13 08:45:25.233435,Missed,0
2025-03-13 08:45:25.469170,Missed,0
2025-03-13 08:45:25.701946,Missed,0
2025-03-13 08:45:25.934108,Missed,0
2025-03-13 08:45:26.166838,Detected,1
2025-03-13 08:45:26.399423,Missed,0
2025-03-13 08:45:26.634598,Missed,0
2025-03-13 08:45:26.864470,Detected,1
2025-03-13 08:45:27.100320,Missed,0
2025-03-13 08:45:27.330813,Missed,0
2025-03-13 08:45:27.567547,Missed,0
2025-03-13 08:45:27.801097,Detected,1
2025-03-13 08:45:28.032709,Missed,0
2025-03-13 08:45:28.265670,Missed,0
2025-03-13 08:45:28.499216,Detected,1
2025-03-13 08:45:28.733337,Missed,0
2025-03-13 08:45:28.967097,Missed,0
2025-03-13 08:45:29.198278,Missed,0
2025-03-13 08:45:29.433741,Missed,0
2025-03-13 08:45:29.666786,Missed,0
2025-03-13 08:45:29.897549,Missed,0
2025-03-13 08:45:30.132644,Detected,1
2025-03-13 08:45:30.366035,Missed,0
2025-03-13 08:45:30.598645,Missed,0
2025-03-13 08:45:30.832646,Missed,0
2025-03-13 08:45:31.063117,Missed,0
2025-03-13 08:45:31.299062,Missed,0
2025-03-13 08:45:31.532153,Missed,0
2025-03-13 08:45:31.766239,Missed,0
2025-03-13 08:45:31.998797,Missed,0
2025-03-13 08:45:32.231563,Missed,0
2025-03-13 08:45:32.462675,Missed,0
2025-03-13 08:45:32.695689,Missed,0
2025-03-13 08:45:32.928601,Missed,0
2025-03-13 08:45:33.164574,Missed,0
2025-03-13 08:45:33.395750,Missed,0
2025-03-13 08:45:33.627700,Detected,1
2025-03-13 08:45:33.864085,Missed,0
2025-03-13 08:45:34.094558,Detected,1
2025-03-13 08:45:34.328741,Missed,0
2025-03-13 08:45:34.560342,Detected,1
2025-03-13 08:45:34.795283,Missed,0
2025-03-13 08:45:35.033956,Missed,0
2025-03-13 08:45:35.262734,Missed,0
2025-03-13 08:45:35.502439,Missed,0
2025-03-13 08:45:35.730594,Missed,0
2025-03-13 08:45:35.964427,Detected,1
2025-03-13 08:45:36.195863,Missed,0
2025-03-13 08:45:36.429100,Detected,1
2025-03-13 08:45:36.665332,Missed,0
2025-03-13 08:45:36.905860,Missed,0
2025-03-13 08:45:37.322911,Missed,0
2025-03-13 08:45:37.565472,Detected,1
2025-03-13 08:45:37.796178,Detected,1
2025-03-13 08:45:38.038585,Missed,0
2025-03-13 08:45:38.265047,Missed,0
2025-03-13 08:45:38.497502,Detected,1
2025-03-13 08:45:38.730366,Missed,0
2025-03-13 08:45:38.961304,Detected,1
2025-03-13 08:45:39.177167,Detected,1
2025-03-13 08:45:39.407789,Detected,1
2025-03-13 08:45:39.648038,Missed,0
2025-03-13 08:45:39.875280,Missed,0
2025-03-13 08:45:40.105462,Missed,0
2025-03-13 08:45:40.337641,Missed,0
2025-03-13 08:45:40.576034,Missed,0
2025-03-13 08:45:40.804202,Missed,0
2025-03-13 08:45:41.114609,Missed,0
2025-03-13 08:45:41.435954,Detected,1
2025-03-13 08:45:41.684595,Missed,0
2025-03-13 08:45:41.937272,Missed,0
2025-03-13 08:45:42.169805,Missed,0
2025-03-13 08:45:42.418918,Detected,1
2025-03-13 08:45:42.703072,Missed,0
2025-03-13 08:45:42.974706,Detected,1
2025-03-13 08:45:43.220680,Detected,1
2025-03-13 08:45:43.486166,Missed,0
2025-03-13 08:45:43.751022,Missed,0
2025-03-13 08:45:44.011598,Detected,1
2025-03-13 08:45:44.242700,Missed,0
2025-03-13 08:45:44.482815,Detected,1
2025-03-13 08:45:44.756237,Detected,1
2025-03-13 08:45:45.114600,Missed,0
2025-03-13 08:45:45.390977,Missed,0
2025-03-13 08:45:45.650088,Detected,1
2025-03-13 08:45:45.948796,Missed,0
2025-03-13 08:45:46.285754,Detected,1
2025-03-13 08:45:46.550515,Missed,0
2025-03-13 08:45:46.814972,Missed,0
2025-03-13 08:45:47.068378,Missed,0
2025-03-13 08:45:47.300128,Detected,1
2025-03-13 08:45:47.540149,Detected,1
2025-03-13 08:45:47.788521,Detected,1
2025-03-13 08:45:48.065229,Missed,0
2025-03-13 08:45:48.314079,Detected,1
2025-03-13 08:45:48.566992,Detected,1
2025-03-13 08:45:48.800195,Missed,0
2025-03-13 08:45:49.040163,Missed,0
2025-03-13 08:45:49.281337,Detected,1
2025-03-13 08:45:49.516694,Missed,0
2025-03-13 08:45:49.784526,Missed,0
2025-03-13 08:45:50.048186,Detected,1
2025-03-13 08:45:50.309811,Detected,1
2025-03-13 08:45:50.537141,Missed,0
2025-03-13 08:45:50.826099,Missed,0
2025-03-13 08:45:51.150315,Detected,1
2025-03-13 08:45:51.450904,Detected,1
2025-03-13 08:45:51.712662,Detected,1
2025-03-13 08:45:51.964235,Missed,0
2025-03-13 08:45:52.197568,Missed,0
2025-03-13 08:45:52.438879,Missed,0
2025-03-13 08:45:52.761841,Missed,0
2025-03-13 08:45:53.055592,Missed,0
2025-03-13 08:45:53.312324,Missed,0
2025-03-13 08:45:53.536273,Missed,0
2025-03-13 08:45:53.772003,Missed,0
2025-03-13 08:45:54.015645,Missed,0
2025-03-13 08:45:54.279386,Missed,0
2025-03-13 08:45:54.533035,Missed,0
2025-03-13 08:45:54.768575,Missed,0
2025-03-13 08:45:55.013052,Missed,0
2025-03-13 08:45:55.279182,Missed,0
2025-03-13 08:45:55.541037,Missed,0
2025-03-13 08:45:55.774733,Missed,0
2025-03-13 08:45:56.010969,Missed,0
2025-03-13 08:45:56.245147,Missed,0
2025-03-13 08:45:56.511161,Missed,0
2025-03-13 08:45:56.753080,Missed,0
2025-03-13 08:45:57.011120,Missed,0
2025-03-13 08:45:57.257613,Missed,0
2025-03-13 08:45:57.509200,Missed,0
2025-03-13 08:45:57.778402,Missed,0
2025-03-13 08:45:58.043864,Missed,0
2025-03-13 08:45:58.266702,Detected,1
2025-03-13 08:45:58.505448,Missed,0
2025-03-13 08:45:58.743834,Missed,0
2025-03-13 08:45:59.010890,Detected,1
2025-03-13 08:45:59.277473,Detected,1
2025-03-13 08:45:59.534865,Missed,0
2025-03-13 08:45:59.766817,Missed,0
2025-03-13 08:46:00.010523,Missed,0
2025-03-13 08:46:00.282234,Missed,0
2025-03-13 08:46:00.562779,Missed,0
2025-03-13 08:46:00.810527,Missed,0
2025-03-13 08:46:01.074554,Missed,0
2025-03-13 08:46:01.294515,Missed,0
2025-03-13 08:46:01.540387,Missed,0
2025-03-13 08:46:01.775588,Missed,0
2025-03-13 08:46:02.134297,Missed,0
2025-03-13 08:46:02.424411,Missed,0
2025-03-13 08:46:02.674089,Missed,0
2025-03-13 08:46:02.907638,Missed,0
2025-03-13 08:46:03.141786,Detected,1
2025-03-13 08:46:03.406199,Detected,1
2025-03-13 08:46:03.651291,Detected,1
2025-03-13 08:46:03.907182,Missed,0
2025-03-13 08:46:04.167391,Missed,0
2025-03-13 08:46:04.409432,Missed,0
2025-03-13 08:46:04.675273,Missed,0
2025-03-13 08:46:04.940483,Missed,0
2025-03-13 08:46:05.208335,Missed,0
2025-03-13 08:46:05.477303,Missed,0
2025-03-13 08:46:05.740925,Missed,0
2025-03-13 08:46:06.008648,Missed,0
2025-03-13 08:46:06.261648,Missed,0
2025-03-13 08:46:06.495900,Missed,0
2025-03-13 08:46:06.740674,Missed,0
2025-03-13 08:46:07.007645,Missed,0
2025-03-13 08:46:07.241672,Missed,0
2025-03-13 08:46:07.478764,Missed,0
2025-03-13 08:46:07.750762,Missed,0
2025-03-13 08:46:08.005915,Missed,0
2025-03-13 08:46:08.241379,Missed,0
2025-03-13 08:46:08.498558,Missed,0
2025-03-13 08:46:08.743267,Missed,0
